Site,Habitat,Season,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree,Temp,Humidity
Albert Park,1,1,151,0,6,0,0,10,0,10,8,1,0,0,1,8,7,185,6,20,48,0,13,1,16,0,0,0,0,0,0,0,0,0,104,6,2,2,1,508500,6.352532434,4,307.4648102,319.4008886,451.1150505,1693.27663,0.084813599,0.306702905,0.418516578,154467,16004,8789,1749,13147478.69,52767347.28,135155830.3,542156685.1,63,62.9668655,62.8628387,63,128.9661387,123.1598266,83.29646145,81.31200116,2411.968157,1931.92,1931.92,2546.05,0.01,0.15,0.6,2,0,2,0,0,2,2,15,20.27213836,74.45614465
Albert Park,1,2,38,2,1,0,1,2,0,2,0,5,0,0,1,0,7,50,0,6,3,0,4,0,104,0,0,0,0,0,0,0,0,0,117,4,2,2,1,508500,6.352532434,4,307.4648102,319.4008886,451.1150505,1693.27663,0.084813599,0.306702905,0.418516578,154467,16004,8789,1749,13147478.69,52767347.28,135155830.3,542156685.1,63,62.9668655,62.8628387,63,128.9661387,123.1598266,83.29646145,81.31200116,2411.968157,1931.92,1931.92,2546.05,0.01,0.15,0.6,2,0,2,0,0,2,2,15,12.72739623,72.61192453
Amber,1,1,3,10,0,0,0,2,0,2,0,0,3,1,14,0,6,33,172,330,0,415,686,92,0,0,6,4,2,1,0,0,0,0,1708,9,2,1,4,3353.508,0.511774855,0.5,421.1734571,331.8883749,292.095931,262.411508,0.342352657,0.348152091,0.40214309,39,88,61,135,1917354.505,4842891.597,20304100.95,99664749.85,NA,47.841465,NA,NA,78.70449597,86.28591548,97.33315433,116.2754963,1846.672531,48.64,48.64,2135,0.68,0.3,0.1,1,1,2,0,0,0,0,0.5,20.87728571,73.02131633
Amber,1,2,6,9,1,0,0,0,0,0,0,0,0,0,4,0,5,20,4,50,0,0,1,1,53,0,75,0,0,0,0,0,0,0,184,6,1,1,4,3353.508,0.511774855,0.5,421.1734571,331.8883749,292.095931,262.411508,0.342352657,0.348152091,0.40214309,39,88,61,135,1917354.505,4842891.597,20304100.95,99664749.85,NA,47.841465,NA,NA,78.70449597,86.28591548,97.33315433,116.2754963,1846.672531,48.64,48.64,2135,0.68,0.3,0.1,1,1,2,0,0,0,0,0.5,15.26432075,75.01942265
Avoca,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,5,22,5,0,0,0,0,0,0,0,0,0,0,50,5,1,NA,1,858.96596,7.9332,1.6,365.6635701,368.5991388,383.8595367,316.000662,0.36610425,0.336628749,0.326112232,22414,46696,9514,2458,818633.1316,6000299.726,59876058.23,198787385.2,61.4252892,61.6584129,61.677597,55.3733139,98.39301478,102.108042,111.2399327,109.5383827,12985.55133,1143.16,1143.16,1532.92,0.54,0.02,0.01,1,0,1,2,0,0,0,1,13.83604444,71.95354444
Avoca,1,2,13,72,1,0,0,4,0,4,0,0,0,0,194,10,6,294,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,2,2,NA,1,858.96596,7.9332,1.6,365.6635701,368.5991388,383.8595367,316.000662,0.36610425,0.336628749,0.326112232,22414,46696,9514,2458,818633.1316,6000299.726,59876058.23,198787385.2,61.4252892,61.6584129,61.677597,55.3733139,98.39301478,102.108042,111.2399327,109.5383827,12985.55133,1143.16,1143.16,1532.92,0.54,0.02,0.01,1,0,1,2,0,0,0,1,12.42183962,84.63996226
Banjo,1,1,52,3,0,0,0,0,0,0,2,21,0,0,1,3,6,82,9,99,14,1,40,15,92,0,3,0,0,0,0,0,0,0,273,8,2,NA,1,12219.43247,2.207815151,3,571.229541,476.2737842,479.8386843,455.671998,0.437003906,0.403624277,0.413159921,93405,13882,3521,1338,821017.7263,3824976.873,18606192.97,105832290.4,62.2588234,62.25,61.8728218,58.4257698,103.1109748,116.7419368,119.804383,124.829676,23095.00906,568.71,568.71,5416.28,0.02,0.05,0.2,1,4,5,5,0,1,1,1,20.27213836,74.45614465
Banjo,1,2,17,0,1,0,0,0,0,0,1,24,0,1,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,12219.43247,2.207815151,3,571.229541,476.2737842,479.8386843,455.671998,0.437003906,0.403624277,0.413159921,93405,13882,3521,1338,821017.7263,3824976.873,18606192.97,105832290.4,62.2588234,62.25,61.8728218,58.4257698,103.1109748,116.7419368,119.804383,124.829676,23095.00906,568.71,568.71,5416.28,0.02,0.05,0.2,1,4,5,5,0,1,1,1,14.37553774,85.50573585
Blackburn,1,1,117,1,7,1,0,0,0,0,8,20,0,0,3,2,8,159,28,149,0,9,174,4,479,0,0,0,0,0,0,0,0,0,843,6,2,1,1,29182.87654,0.407197566,4,251.0859862,207.0490672,221.1669444,198.748348,0.383206261,0.377470931,0.508238903,297097,121273,51420,20254,745791.691,8896710.35,33805582.67,193709512.2,62.4102554,62.4111519,62.2733078,61.947773,103.0092262,105.8820695,106.5984834,108.2186483,7816.414429,2615.07,2615.07,855.73,0.05,1,1,3,36,39,44,4,2,6,2,18.54169811,75.01942265
Blackburn,1,2,0,1,0,0,0,4,0,4,1,2,0,0,6,4,6,18,7,14,0,6,32,1,111,0,0,0,0,0,0,0,0,0,171,6,2,1,1,29182.87654,0.407197566,4,251.0859862,207.0490672,221.1669444,198.748348,0.383206261,0.377470931,0.508238903,297097,121273,51420,20254,745791.691,8896710.35,33805582.67,193709512.2,62.4102554,62.4111519,62.2733078,61.947773,103.0092262,105.8820695,106.5984834,108.2186483,7816.414429,2615.07,2615.07,855.73,0.05,1,1,3,36,39,44,4,2,6,2,15.631,82.39634906
