Site,Urban,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree
Albert Park,NA,2,1,508500.0,6.352532434,4.0,307.4648102,319.4008886,451.1150505,1693.27663,0.084813599,0.306702905,0.418516578,154467,16004,8789,1749,13147478.69,52767347.28,135155830.3,542156685.1,63.0,62.9668655,62.8628387,63.0,128.9661387,123.1598266,83.29646145,81.31200116,2411.968157,1931.92,1931.92,2546.05,0.01,0.15,0.6,2,0,2,0,0,2,2,15.0
Amber,NA,1,4,3353.508,0.511774855,0.5,421.1734571,331.8883749,292.095931,262.411508,0.342352657,0.348152091,0.40214309,39,88,61,135,1917354.505,4842891.597,20304100.95,99664749.85,NA,47.841465,NA,NA,78.70449597,86.28591548,97.33315433,116.2754963,1846.672531,48.64,48.64,2135.0,0.68,0.3,0.1,1,1,2,0,0,0,0,0.5
Avoca,NA,NA,1,858.96596,7.9332,1.6,365.6635701,368.5991388,383.8595367,316.000662,0.36610425,0.336628749,0.326112232,22414,46696,9514,2458,818633.1316,6000299.726,59876058.23,198787385.2,61.4252892,61.6584129,61.677597,55.3733139,98.39301478,102.108042,111.2399327,109.5383827,12985.55133,1143.16,1143.16,1532.92,0.54,0.02,0.01,1,0,1,2,0,0,0,1.0
Banjo,NA,NA,1,12219.43247,2.207815151,3.0,571.229541,476.2737842,479.8386843,455.671998,0.437003906,0.403624277,0.413159921,93405,13882,3521,1338,821017.7263,3824976.873,18606192.97,105832290.4,62.2588234,62.25,61.8728218,58.4257698,103.1109748,116.7419368,119.804383,124.829676,23095.00906,568.71,568.71,5416.28,0.02,0.05,0.2,1,4,5,5,0,1,1,1.0
Blackburn,NA,1,1,29182.87654,0.407197566,4.0,251.0859862,207.0490672,221.1669444,198.748348,0.383206261,0.377470931,0.508238903,297097,121273,51420,20254,745791.691,8896710.35,33805582.67,193709512.2,62.4102554,62.4111519,62.2733078,61.947773,103.0092262,105.8820695,106.5984834,108.2186483,7816.414429,2615.07,2615.07,855.73,0.05,1.0,1.0,3,36,39,44,4,2,6,2.0
Boardwalk,NA,NA,4,9860.6233,0.373400415,3.0,402.1099257,436.7344472,365.0503437,391.025714,0.301266156,0.293295006,0.320308159,543,390,68,20,3829547.372,5711860.791,19365553.24,113968294.2,62.8235321,62.6777306,62.6010513,58.2276497,90.47282548,89.73396364,103.0156756,112.8465792,7336.440873,705.7,705.7,4099.0,0.33,1.0,0.5,1,0,1,5,0,0,0,45.0
Bonview,NA,NA,1,18867.24119,1.778681065,4.0,261.0079076,302.1442478,297.1921164,264.613151,0.420009668,0.439232649,0.488092976,53065,103081,26816,4535,686359.6478,2736430.17,18644338.88,194881976.8,0.0,60.4567375,60.2286949,61.4300041,105.5483344,116.9605055,114.3816414,115.4266945,2594.020646,1823.52,1823.52,1172.35,0.04,0.6,0.65,3,0,3,5,1,2,3,2.5
Botanica,NA,1,4,3267.23258,0.4702,1.5,259.9942333,263.9358964,276.9740328,226.679342,0.450986109,0.364007695,0.304032205,154467,3980,3806,677,838779.0826,3336584.064,23953711.34,312613762.1,NA,61.7009506,61.5270157,NA,81.99159112,101.1255459,104.8937251,106.1006188,590.6790206,653.66,590.6790206,1659.87,0.04,0.3,0.03,1,0,1,0,0,0,0,8.0
Braeside,NA,NA,1,4216.98498,0.1359,2.0,422.7910495,617.2039029,1919.281289,508.691343,0.417728517,0.53895427,0.633466777,9722,10547,3131,3797,1371277.583,4851948.649,19030339.59,366935176.5,61.2696648,61.7848816,61.7491798,62.0805817,123.0421347,119.7668232,114.8510375,112.2707082,21244.14191,422.15,422.15,576.39,0.24,0.6,0.25,0,6,6,15,0,0,0,6.0
Brighton,NA,1,1,3404.2621,0.692235185,1.5,352.9501372,313.1790894,355.3386073,303.861578,0.364187762,0.406272807,0.543671875,80896,41287,14809,4319,1685922.705,6625051.211,36578318.74,210894655.0,61.8588219,61.7916336,61.9755363,61.2441902,115.9778668,127.2562837,114.9641203,112.6320181,10312.13124,96.31,96.31,2353.7,0.0,0.0,0.01,2,0,2,0,13,4,17,12.0
Brodies,NA,1,4,7044.78675,1.188704339,2.5,275.9307228,279.7883834,302.7063647,247.793454,0.441629825,0.387254702,0.573921678,81631,14482,3277,672,708232.8815,2954006.391,12915739.15,97616672.13,45.7804871,41.3408394,49.3751106,46.4381485,181.190437,149.7747287,135.003564,118.9360413,4407.12625,81.51,81.51,146.6,0.19,0.3,0.05,1,15,16,0,3,1,4,5.0
Bundoora,NA,1,1,1883.70656,0.171959171,3.0,261.0741336,270.9356643,265.3333488,344.891284,0.460976283,0.49846069,0.49741246,7367,12685,8438,1960,2829056.817,12801241.01,83966742.04,257969663.5,61.8271599,61.6980476,61.8342552,62.4149742,140.1015854,122.6408827,106.4241688,111.1293855,842.0738411,57.24,57.24,786.66,0.11,0.01,0.03,1,0,1,0,0,0,0,12.0
Canterbury,NA,2,1,5787.31621,0.655123603,2.6,345.6930736,618.0168038,704.2707478,564.073538,0.40832123,0.319144521,0.416474997,177385,34293,8517,302,960673.8344,4510357.42,18729501.62,108630899.0,61.2025299,61.4614487,60.4191284,47.439537,118.7722755,147.4873318,124.4210966,114.4526727,10962.90311,1220.03,1220.03,805.34,0.79,1.0,0.1,5,6,11,2,0,0,0,5.0
Carramar,NA,NA,1,7379.36204,0.0775,2.0,363.8472654,372.4890936,428.2955867,415.703883,0.446802314,0.338139714,0.34483202,5343,3492,214,170,1890516.175,6352213.471,18455991.14,101283765.3,NA,57.464286799999996,56.985157,57.3846321,113.2751118,115.3914304,129.9608197,133.5956598,28471.8502,238.77,238.77,329.34,0.02,0.0,0.01,2,0,2,0,0,2,2,2.0
Cherry,NA,NA,4,605600.0,2.555963344,4.0,565.5965752,378.7496625,278.8295053,334.68036,0.187942695,0.316745843,0.277531854,3101,5629,2947,725,717043.2709,21849009.88,61802247.47,140921523.1,62.5,62.723213200000004,61.6994247,60.9431801,124.8441743,136.4564747,133.3613015,123.6097848,5235.478682,421.42,421.42,7289.0,0.02,0.6,0.15,1,0,1,0,0,0,0,32.0
Croydon,NA,2,1,2777.2233,1.857262943,3.0,291.0950167,330.9138385,424.8864679,574.653595,0.458986296,0.376233578,0.344942434,154467,31400,11260,1583,2482391.821,8270366.801,23245497.09,127143043.0,61.5487823,59.7990532,58.0966759,NA,85.73627413,106.9695679,114.7752786,106.416669,7899.186466,340.53,340.53,1937.0,0.35,0.5,0.1,4,0,4,0,0,0,0,11.0
Edithvale,NA,NA,1,56762.02498,2.423688533,1.8,409.9957702,345.0744461,341.2877232,325.257202,0.392741236,0.476218461,0.498139197,87893,14825,6011,1107,744920.3946,3432624.929,13443925.71,102518499.2,60.0777779,60.5335007,60.0600891,58.4918633,125.4451314,101.3629339,104.7462979,118.7414657,22898.85185,269.54,269.54,2180.39,0.35,0.8,0.02,1,0,1,2,0,0,0,3.0
Elizabeth,NA,1,1,2414.59093,0.792714213,1.5,297.6883586,260.3610526,223.4622176,227.889668,0.436703174,0.464694097,0.5070228,154467,42958,21555,4618,736418.1449,3084124.189,13880628.19,101589807.5,58.5844154,58.9448051,58.082325,48.3116913,109.8524213,119.6933918,116.2142651,120.9928088,9388.110002,56.72,56.72,653.39,0.4,0.9,0.1,10,39,49,1,0,0,0,2.0
Elsternwick,NA,1,1,14786.77393,0.2182,3.0,327.4179083,348.9058653,358.3172469,330.350443,0.219536581,0.316510745,0.512213717,679,29724,14033,2769,3421739.719,10495254.99,27247512.31,279249474.3,61.4767494,62.1575394,62.5915031,62.9047623,108.3495506,111.6424441,106.7826486,98.55649829,6046.241542,265.34,265.34,2578.69,0.03,0.4,0.15,3,0,3,0,0,0,0,8.0
Epsom,NA,1,1,9880.7366,0.147723685,1.5,417.5978495,386.98235,375.1181098,347.603646,0.238504504,0.344501409,0.32559112,48398,22163,5590,712,900283.5576,3833175.198,13710427.66,357742124.6,60.8390808,61.1404457,60.7568588,61.6100311,102.7428327,108.1683043,107.666006,111.1393307,20205.36077,72.21,72.21,1320.45,0.77,0.8,0.0,0,2,2,25,0,0,0,11.0
Ferny Crrek,NA,NA,2,13890.25303,0.60921403,3.5,396.8556281,434.5583409,415.2109389,398.372436,0.596911923,0.59744516,0.594247133,1340544,183216,41637,14162,712221.1758,2927525.947,11730740.63,99232985.8,50.6707306,53.9439926,49.8341293,39.9247818,157.0470928,169.3563164,164.2692886,145.6788419,11649.19218,1268.26,1268.26,34.84,0.15,0.9,0.4,0,1,1,0,1,0,1,1.0
Greenslope,NA,1,2,3346.728,1.0618933,1.1,256.4236141,201.5441078,207.1670988,172.68484,0.449578144,0.487782709,0.538103445,11498,21805,13254,2694,704904.0052,3088627.534,14415228.82,93929742.53,58.5714302,58.1769867,58.4088135,30.3340092,145.1096727,121.2058444,122.240648,119.5777089,6960.489232,1905.11,1905.11,1409.27,0.7,0.95,0.05,3,0,3,0,0,0,0,4.0
Herritage,NA,NA,1,15348.09473,0.490627411,3.5,451.7085809,449.02923,432.1609309,442.173587,0.30076523,0.271219735,0.272826926,117289,13341,3568,610,704471.9162,2737630.987,11037555.09,229918835.8,NA,62.0291634,61.7301865,60.4416313,139.8603811,114.4230209,115.197287,114.5129924,18884.93779,126.12,126.12,4000.47,0.43,0.15,0.05,2,0,2,0,0,0,0,2.0
Highlands,NA,NA,4,33405.03791,0.712050629,1.5,298.0029427,287.4711854,405.449778,460.862287,0.543748678,0.511964477,0.373897698,44643,7436,1773,594,1167183.213,5261548.071,19558820.22,90084633.31,43.682354,44.5843163,44.6263123,34.2958412,83.7504018,82.03436928,96.77627854,117.2674362,4201.315418,159.91,159.91,847.98,0.01,0.08,0.02,2,0,2,15,0,0,0,21.0
Hill Lake,NA,NA,1,10235.84198,0.841674242,3.0,498.2139452,589.5203545,577.1100408,416.447929,0.374778075,0.333178599,0.355758181,359086,19715,5719,529,4751122.999,15835265.72,49598059.77,146568031.0,61.8076935,61.7970085,61.485878,58.5679436,84.02166087,121.7425908,120.6768473,122.576868,17359.99793,138.04,138.04,646.34,0.01,0.0,0.15,0,1,1,3,0,1,1,1.0
Illawong,NA,NA,1,19966.17526,1.313736252,2.5,370.3839764,394.8685147,429.5348355,547.905518,0.42586755,0.430830868,0.417574152,76603,13551,1492,684,3107192.46,6512302.588,19317818.29,100539749.4,58.1428566,58.0993233,56.8047447,55.1273956,113.1266372,113.2658574,128.8296667,135.7186036,28270.04451,92.94,92.94,140.3,0.0,0.0,0.01,0,0,0,0,0,0,0,0.0
