Site,Season,Urban,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,Temp,Humidity
Albert Park,1,NA,151,0,6,0,0,10,0,10,8,1,0,0,1,8,7,185,6,20,48,0,13,1,16,0,0,0,0,0,0,0,0,0,104,6,2,20.27213836,74.45614465
Albert Park,2,NA,38,2,1,0,1,2,0,2,0,5,0,0,1,0,7,50,0,6,3,0,4,0,104,0,0,0,0,0,0,0,0,0,117,4,2,12.72739623,72.61192453
Amber,1,NA,3,10,0,0,0,2,0,2,0,0,3,1,14,0,6,33,172,330,0,415,686,92,0,0,6,4,2,1,0,0,0,0,1708,9,2,20.87728571,73.02131633
Amber,2,NA,6,9,1,0,0,0,0,0,0,0,0,0,4,0,5,20,4,50,0,0,1,1,53,0,75,0,0,0,0,0,0,0,184,6,1,15.26432075,75.01942265
Avoca,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,5,22,5,0,0,0,0,0,0,0,0,0,0,50,5,1,13.83604444,71.95354444
Avoca,2,NA,13,72,1,0,0,4,0,4,0,0,0,0,194,10,6,294,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,2,2,12.42183962,84.63996226
Banjo,1,NA,52,3,0,0,0,0,0,0,2,21,0,0,1,3,6,82,9,99,14,1,40,15,92,0,3,0,0,0,0,0,0,0,273,8,2,20.27213836,74.45614465
Banjo,2,NA,17,0,1,0,0,0,0,0,1,24,0,1,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.37553774,85.50573585
Blackburn,1,NA,117,1,7,1,0,0,0,0,8,20,0,0,3,2,8,159,28,149,0,9,174,4,479,0,0,0,0,0,0,0,0,0,843,6,2,18.54169811,75.01942265
Blackburn,2,NA,0,1,0,0,0,4,0,4,1,2,0,0,6,4,6,18,7,14,0,6,32,1,111,0,0,0,0,0,0,0,0,0,171,6,2,15.631,82.39634906
Boardwalk,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,91,85,0,73,169,20,360,0,0,0,6,0,0,0,0,0,804,7,1,22.19058163,71.19745918
Boardwalk,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,13,3,0,33,0,23,0,0,0,0,0,0,0,0,0,76,5,1,15.26432075,75.01942265
Bonview,1,NA,120,158,2,0,35,0,0,0,10,60,0,0,133,20,8,538,178,67,0,15,363,35,37,0,0,0,1,0,0,0,0,0,696,7,2,18.40933962,83.67427358
Bonview,2,NA,35,12,4,0,0,0,0,0,3,35,0,0,24,3,7,116,87,66,0,43,288,19,74,1,0,0,3,0,0,0,0,0,581,8,2,25.62462264,57.5619434
Botanica,1,NA,206,13,0,0,5,0,1,1,18,3,8,3,40,22,10,319,239,14,0,71,86,445,14,0,1,2,3,6,0,1,1,0,883,12,2,23.52166981,54.52919811
Botanica,2,NA,55,24,2,0,1,2,0,2,5,3,102,1,19,14,11,228,1,31,0,13,74,5,35,0,2,0,2,0,0,0,0,0,163,8,2,17.43372642,69.28090566
Braeside,1,NA,28,38,1,0,1,6,0,6,0,2,49,6,56,0,9,187,11,12,0,2,2,0,2,0,0,0,0,0,0,0,0,0,29,5,2,17.37822449,82.64318367
Braeside,2,NA,37,20,4,0,3,15,0,15,1,54,9,7,32,3,11,185,35,452,0,0,59,0,21,0,0,0,0,0,0,0,0,0,567,4,2,13.32880612,79.50596939
Brighton,1,NA,253,49,20,0,6,7,0,7,24,20,0,0,59,26,9,464,0,18,0,0,56,2,8,0,0,0,2,0,0,0,0,0,86,5,1,15.14527551,71.62809184
Brighton,2,NA,112,27,34,0,0,17,4,21,11,10,0,0,72,16,9,303,39,2,0,14,14,118,2,0,0,1,0,0,0,0,0,0,190,7,1,21.67763462,75.01942265
Brodies,1,NA,23,1,2,0,1,2,0,2,0,5,147,2,0,0,8,183,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,2,1,15.58671698,84.25037736
Brodies,2,NA,13,0,0,0,0,0,0,0,0,40,55,0,0,1,4,109,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,9.3985,85.01804717
Bundoora,1,NA,121,13,2,0,0,1,0,1,11,0,0,0,12,12,7,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.11882653,56.51138776
Bundoora,2,NA,61,2,1,0,0,1,0,1,4,16,0,0,4,2,8,91,0,64,0,0,12,2,18,0,0,0,1,0,0,0,0,0,97,5,2,15.69167925,72.17131132
Canterbury,1,NA,210,25,2,4,7,7,0,7,13,0,1,0,28,49,11,346,57,6,0,134,21,6,1,0,7,0,1,0,0,0,0,0,233,8,2,16.95808163,75.01942265
Canterbury,2,NA,287,11,11,1,1,6,1,7,6,0,0,0,9,10,10,343,13,1,0,0,4,1,0,0,1,0,2,0,0,1,0,0,23,7,1,15.81613725,84.71934314
Carramar,1,NA,23,2,1,0,7,2,0,2,0,0,0,2,48,1,8,86,0,2,0,1,8,1,0,0,0,0,0,0,0,0,0,0,12,4,1,14.86576471,73.3275
Carramar,2,NA,14,2,2,0,0,2,0,2,0,0,0,0,6,1,6,27,0,4,0,0,13,7,2,0,0,0,0,0,0,0,0,0,26,4,2,14.43966981,86.00573585
Cherry,1,NA,0,3,1,0,0,1,0,1,0,11,0,0,24,2,6,42,581,136,0,194,593,108,1068,0,7,0,0,0,0,0,0,0,2687,7,2,22.88728571,73.40832653
Cherry,2,NA,80,0,14,0,0,1,0,1,0,6,0,0,11,4,6,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.66366038,82.07457547
Croydon,1,NA,20,0,0,0,0,0,0,0,1,0,0,0,0,2,3,23,1,9,0,0,20,0,26,0,2,0,0,0,0,0,0,0,58,5,1,13.10318367,77.97505102
Croydon,2,NA,2,0,0,0,0,0,0,0,1,0,0,0,4,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.85391509,75.01942265
Edithvale,1,NA,4,12,0,0,2,1,0,1,0,14,3,13,15,1,9,65,0,206,739,0,26,172,176,0,0,0,0,0,0,0,0,0,1319,5,1,13.35240816,77.97505102
Edithvale,2,NA,2,32,3,0,0,0,0,0,0,0,3,0,15,0,5,55,2,23,20,0,19,12,0,0,0,0,0,0,0,0,0,0,76,5,2,13.21654717,85.71477358
Elizabeth,1,NA,534,26,14,0,2,13,1,14,11,0,3,3,7,29,11,643,37,121,0,6,77,2,16,0,3,0,0,0,0,0,0,0,262,7,2,16.06175472,75.95962264
